,Circuit,Succesful Attempts,Failed Attempts,Success Rate,SSE,Shots Taken,Runtime,Guess of a,One qubit error Prob,Two qubit error Prob,Readout error Prob,T1,T2
41,One-qubit and two-qubit errors Circuit,74398,25602,0.74398,10.797247500000015,100000,00:02:45.201,7,5.9625e-05,0.00209225,0.0,0.0,0.0
42,One-qubit errors and readout error Circuit,74387,25613,0.74387,4.774122500000013,100000,00:02:30.531,7,5.9625e-05,0.0,0.0043625,0.0,0.0
43,Two-qubit errors and readout error Circuit,73990,26010,0.7399,26.131522499999996,100000,00:02:47.225,7,0.0,0.00209225,0.0043625,0.0,0.0
44,One-qubit errors and thermal relaxation error Circuit,74909,25091,0.74909,0.1503149999999993,100000,00:02:31.018,7,5.9625e-05,0.0,0.0,24.41,27.7925
45,Two-qubit errors and thermal relaxation error Circuit,74606,25394,0.74606,10.538262500000009,100000,00:02:45.328,7,0.0,0.00209225,0.0,24.41,27.7925
46,Readout error and thermal relaxation error Circuit,74595,25405,0.74595,4.8139575000000026,100000,00:00:00.623,7,0.0,0.0,0.0043625,24.41,27.7925
47,"One-qubit errors, two-qubit errors and readout error Circuit",73984,26016,0.73984,28.187774999999995,100000,00:02:47.957,7,5.9625e-05,0.00209225,0.0043625,0.0,0.0
48,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",74670,25330,0.7467,10.507694999999995,100000,00:02:45.366,7,5.9625e-05,0.00209225,0.0,24.41,27.7925
49,"One-qubit errors, readout error and thermal relaxation error Circuit",74708,25292,0.74708,4.756435000000007,100000,00:02:31.031,7,5.9625e-05,0.0,0.0043625,24.41,27.7925
50,"Two-qubit errors, readout error and thermal relaxation error Circuit",74047,25953,0.74047,26.64615000000001,100000,00:02:47.786,7,0.0,0.00209225,0.0043625,24.41,27.7925
51,Optimal Circuit,75084,24916,0.75084,0.0,100000,00:00:00.333,8,0.0,0.0,0.0,0.0,0.0
52,Guadalupe Circuit,73001,26999,0.73001,77.89236749999996,100000,00:01:39.081,8,-1.0,-1.0,-1.0,-1.0,-1.0
53,Combined error Circuit,74136,25864,0.74136,26.192002499999965,100000,00:01:55.987,8,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
54,One-qubit errors only Circuit,74980,25020,0.7498,0.44292250000000005,100000,00:01:38.781,8,5.9625e-05,0.0,0.0,0.0,0.0
55,Two-qubit errors only Circuit,74363,25637,0.74363,10.72686999999999,100000,00:01:55.154,8,0.0,0.00209225,0.0,0.0,0.0
56,Readout errors only Circuit,74673,25327,0.74673,5.0018499999999975,100000,00:00:00.525,8,0.0,0.0,0.0043625,0.0,0.0
57,Thermal Relaxation errors only Circuit,74968,25032,0.74968,0.2866399999999969,100000,00:00:00.327,8,0.0,0.0,0.0,24.41,27.7925
58,One-qubit and two-qubit errors Circuit,74307,25693,0.74307,11.146244999999997,100000,00:01:53.538,8,5.9625e-05,0.00209225,0.0,0.0,0.0
59,One-qubit errors and readout error Circuit,74708,25292,0.74708,4.208577499999994,100000,00:01:40.813,8,5.9625e-05,0.0,0.0043625,0.0,0.0
60,Two-qubit errors and readout error Circuit,73964,26036,0.73964,27.284987499999968,100000,00:01:54.013,8,0.0,0.00209225,0.0043625,0.0,0.0
61,One-qubit errors and thermal relaxation error Circuit,74849,25151,0.74849,0.24407000000000495,100000,00:01:40.897,8,5.9625e-05,0.0,0.0,24.41,27.7925
62,Two-qubit errors and thermal relaxation error Circuit,74767,25233,0.74767,10.893429999999984,100000,00:01:53.554,8,0.0,0.00209225,0.0,24.41,27.7925
63,Readout error and thermal relaxation error Circuit,74741,25259,0.74741,4.509932499999992,100000,00:00:00.533,8,0.0,0.0,0.0043625,24.41,27.7925
64,"One-qubit errors, two-qubit errors and readout error Circuit",73938,26062,0.73938,27.832472499999987,100000,00:01:55.294,8,5.9625e-05,0.00209225,0.0043625,0.0,0.0
65,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",74431,25569,0.74431,10.63593999999999,100000,00:01:53.708,8,5.9625e-05,0.00209225,0.0,24.41,27.7925
